Temperature,Pressure,Angle,Distance
26,375,55,12
26,260,45,9.7
26,390,55,17.6
26,220,25,5
26,450,25,10.2
26,260,55,7.6
26,375,45,16
26,420,45,17
29,260,25,7
29,375,35,7.5
29,450,65,11.5
29,325,45,6.8
29,325,45,6.6
29,390,65,5
29,390,35,6
29,325,25,5.8
29,200,45,4.8
29,420,65,7.8
29,390,55,19.5
29,260,65,9.3
29,420,25,14.6
29,420,35,15
28,420,55,17.4
29,260,35,8.5
28,390,25,11.8
28,390,35,17
27,220,65,7.7
29,450,55,23.3
29,325,65,13.2
29,325,35,10.5
29,450,45,20.1
29,390,45,20.6
29,260,35,10.6
29,375,25,16.7
29,200,35,6
29,260,55,10
30,200,55,5.5
30,200,25,4.5
30,260,55,8
30,325,45,14.4
30,325,55,13.7
30,450,35,17.7
30,220,55,9.1
30,375,65,14.8
30,220,45,5.3
30,220,35,4.2
30,260,35,8.2
30,390,55,14.2
30,200,25,3.6
30,200,25,4.3
